"skills","avg_salary"
"looker","130250"
"snowflake","123333"
"redshift","120000"
"typescript","108416"
"bigquery","107833"
"spark","107479"
"hadoop","107167"
"aws","105000"
"gcp","105000"
"azure","103671"
"javascript","101750"
"databricks","101014"
"sheets","100625"
"visio","100500"
"jira","100500"
"express","99150"
"sap","99150"
"r","98500"
"tableau","95315"
"python","92494"
"power bi","92100"
"sql","91092"
"sql server","90000"
"sas","88750"
"vba","83875"
